Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ABT,ABT,ABT,ABT,ABT,ABT
Date,,,,,,
2025-04-17,130.39468383789062,130.97999572753906,132.7100067138672,129.66000366210938,130.3800048828125,10474500
2025-04-21,129.30955505371094,129.88999938964844,131.9600067138672,128.50999450683594,130.97000122070312,6046700
2025-04-22,131.14134216308594,131.72999572753906,132.02999877929688,129.92999267578125,129.92999267578125,5837100
2025-04-23,129.25978088378906,129.83999633789062,132.88999938964844,127.12999725341797,132.2100067138672,8777100
2025-04-24,128.80184936523438,129.3800048828125,130.1999969482422,128.02999877929688,130.02000427246094,6595500
2025-04-25,128.2742156982422,128.85000610351562,129.52999877929688,127.23999786376953,129.27000427246094,4849100
2025-04-28,128.951171875,129.52999877929688,130.1199951171875,128.52000427246094,129.3300018310547,3843300
2025-04-29,129.91683959960938,130.5,131.27000427246094,128.8000030517578,128.88999938964844,4315300
2025-04-30,130.1657257080078,130.75,131.27000427246094,128.67999267578125,130.9199981689453,8510500
2025-05-01,130.29515075683594,130.8800048828125,131.6300048828125,128.0,129.5,6769100
2025-05-02,132.22647094726562,132.82000732421875,136.8000030517578,131.3300018310547,131.91000366210938,9801400
2025-05-05,132.00746154785156,132.60000610351562,133.05999755859375,131.4499969482422,132.88999938964844,5752000
2025-05-06,132.46539306640625,133.05999755859375,133.60000610351562,130.6999969482422,131.9499969482422,6290500
2025-05-07,133.35140991210938,133.9499969482422,134.42999267578125,132.42999267578125,133.5,4924900
2025-05-08,133.4011993408203,134.0,135.22000122070312,133.0800018310547,133.25999450683594,5994500
2025-05-09,132.64459228515625,133.24000549316406,134.97000122070312,133.19000244140625,133.97999572753906,4976100
2025-05-12,131.40017700195312,131.99000549316406,133.66000366210938,130.10000610351562,131.7899932861328,5958300
2025-05-13,128.4733123779297,129.0500030517578,131.75,128.9199981689453,131.75,6344700
2025-05-14,127.98550415039062,128.55999755859375,130.13999938964844,128.19000244140625,129.3000030517578,5266900
2025-05-15,132.7541046142578,133.35000610351562,133.42999267578125,128.85000610351562,128.85000610351562,8406400
2025-05-16,134.1976318359375,134.8000030517578,135.2899932861328,132.77000427246094,133.14999389648438,7128700
2025-05-19,134.94427490234375,135.5500030517578,135.69000244140625,134.52999877929688,135.0,8012800
2025-05-20,134.5958251953125,135.1999969482422,135.8300018310547,134.5399932861328,135.0,6455300
2025-05-21,132.4554443359375,133.0500030517578,136.1699981689453,133.02000427246094,135.10000610351562,7209100
2025-05-22,130.91236877441406,131.5,132.8800048828125,131.1699981689453,132.4600067138672,6277100
2025-05-23,130.71327209472656,131.3000030517578,132.1699981689453,130.42999267578125,131.67999267578125,6145000
2025-05-27,132.34593200683594,132.94000244140625,133.83999633789062,131.52999877929688,131.85000610351562,5591000
2025-05-28,131.4300537109375,132.02000427246094,133.60000610351562,131.83999633789062,133.10000610351562,3622100
2025-05-29,132.25634765625,132.85000610351562,133.05999755859375,131.35000610351562,131.72999572753906,3078200
2025-05-30,132.9830780029297,133.5800018310547,134.1300048828125,131.74000549316406,132.8800048828125,14236800
2025-06-02,132.97312927246094,133.57000732421875,133.74000549316406,131.8800048828125,132.86000061035156,4464000
2025-06-03,133.1125030517578,133.7100067138672,133.97000122070312,131.61000061035156,133.1199951171875,5914900
2025-06-04,132.3658447265625,132.9600067138672,134.8699951171875,132.94000244140625,134.41000366210938,4057000
2025-06-05,133.34146118164062,133.94000244140625,134.3800048828125,132.19000244140625,133.38999938964844,5581500
2025-06-06,132.9830780029297,133.5800018310547,135.22000122070312,133.10000610351562,134.7899932861328,3867700
2025-06-09,132.8038787841797,133.39999389648438,134.2899932861328,130.82000732421875,133.02000427246094,6630100
2025-06-10,133.53062438964844,134.1300048828125,134.85000610351562,133.3300018310547,133.55999755859375,3579400
2025-06-11,134.67547607421875,135.27999877929688,135.35000610351562,132.92999267578125,134.10000610351562,4100500
2025-06-12,135.84024047851562,136.4499969482422,136.88999938964844,135.4600067138672,135.5399932861328,5089100
2025-06-13,135.01394653320312,135.6199951171875,137.05999755859375,135.25,135.77999877929688,3928900
2025-06-16,133.41114807128906,134.00999450683594,136.41000366210938,133.30999755859375,135.55999755859375,5084100
2025-06-17,131.6888885498047,132.27999877929688,134.00999450683594,132.14999389648438,133.6999969482422,5010800
2025-06-18,131.81829833984375,132.41000366210938,133.3699951171875,131.60000610351562,132.9499969482422,4950400
2025-06-20,132.39572143554688,132.99000549316406,133.67999267578125,131.99000549316406,133.66000366210938,11338200
2025-06-23,132.6645050048828,133.25999450683594,133.47000122070312,132.11000061035156,133.07000732421875,4887200
2025-06-24,137.4629669189453,138.0800018310547,139.05999755859375,132.3800048828125,133.32000732421875,9894700
2025-06-25,136.78599548339844,137.39999389648438,138.83999633789062,136.63999938964844,137.8699951171875,5507500
2025-06-26,133.07266235351562,133.6699981689453,137.5399932861328,132.7100067138672,137.32000732421875,9452900
2025-06-27,133.77951049804688,134.3800048828125,134.91000366210938,132.8800048828125,133.2899932861328,9513500
2025-06-30,135.40220642089844,136.00999450683594,136.25999450683594,134.0,134.0,5749700
2025-07-01,135.65109252929688,136.25999450683594,137.0800018310547,134.80999755859375,135.5399932861328,5337600
2025-07-02,133.51071166992188,134.11000061035156,136.33999633789062,133.83999633789062,135.27000427246094,4319600
2025-07-03,133.8392333984375,134.44000244140625,135.24000549316406,133.1999969482422,134.6699981689453,3114300
2025-07-07,133.1025390625,133.6999969482422,134.91000366210938,132.85000610351562,134.50999450683594,8927400
2025-07-08,132.76405334472656,133.36000061035156,134.72999572753906,132.85000610351562,133.24000549316406,4782600
2025-07-09,132.6246795654297,133.22000122070312,133.77000427246094,131.47000122070312,133.47000122070312,4613700
2025-07-10,133.00299072265625,133.60000610351562,135.0500030517578,133.00999450683594,133.72999572753906,4857100
2025-07-11,131.4300537109375,132.02000427246094,133.5800018310547,131.25999450683594,133.27000427246094,4661200
2025-07-14,131.44000244140625,132.02999877929688,133.08999633789062,131.7100067138672,132.02000427246094,4881700
2025-07-15,131.49000549316406,131.49000549316406,132.44000244140625,130.3000030517578,131.89999389648438,5084800
2025-07-16,131.74000549316406,131.74000549316406,133.02999877929688,130.30999755859375,132.1199951171875,9893000
2025-07-17,120.51000213623047,120.51000213623047,126.86000061035156,119.7699966430664,126.55000305175781,27560600
2025-07-18,123.66999816894531,123.66999816894531,125.62999725341797,122.2699966430664,122.62999725341797,19571900
2025-07-21,124.41999816894531,124.41999816894531,126.02999877929688,121.5999984741211,124.26000213623047,10308000
2025-07-22,125.7300033569336,125.7300033569336,126.37999725341797,124.2300033569336,124.33000183105469,7098400
2025-07-23,125.83000183105469,125.83000183105469,127.04000091552734,123.25,126.31999969482422,6439600
2025-07-24,125.63999938964844,125.63999938964844,125.9800033569336,124.69999694824219,125.27999877929688,4708000
2025-07-25,126.54000091552734,126.54000091552734,126.7300033569336,125.44999694824219,125.7699966430664,4741200
2025-07-28,126.3499984741211,126.3499984741211,126.98999786376953,125.62999725341797,126.1500015258789,8168400
2025-07-29,128.00999450683594,128.00999450683594,128.10000610351562,125.47000122070312,126.01000213623047,5834100
2025-07-30,128.5500030517578,128.5500030517578,129.6999969482422,127.08000183105469,127.97000122070312,5359700
2025-07-31,126.19000244140625,126.19000244140625,129.14999389648438,125.80999755859375,127.54000091552734,6722600
2025-08-01,127.29000091552734,127.29000091552734,127.7699966430664,125.47000122070312,125.47000122070312,5453300
