Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BKNG,BKNG,BKNG,BKNG,BKNG,BKNG
Date,,,,,,
2025-04-17,4565.4287109375,4573.31005859375,4604.58984375,4516.6298828125,4586.580078125,216800
2025-04-21,4429.982421875,4437.6298828125,4578.81005859375,4371.1201171875,4566.64013671875,235500
2025-04-22,4590.15576171875,4598.080078125,4608.509765625,4456.919921875,4465.0,236300
2025-04-23,4722.87646484375,4731.02978515625,4800.0,4665.0,4719.830078125,237900
2025-04-24,4819.64990234375,4827.97021484375,4843.759765625,4691.6298828125,4706.1201171875,238000
2025-04-25,4830.1015625,4838.43994140625,4878.41015625,4793.5498046875,4828.6201171875,189600
2025-04-28,4881.52294921875,4889.9501953125,4916.2001953125,4824.240234375,4880.0,232900
2025-04-29,4900.76953125,4909.22998046875,4930.1201171875,4841.81005859375,4849.990234375,372300
2025-04-30,5090.4921875,5099.27978515625,5116.14013671875,4722.77001953125,4732.22998046875,458000
2025-05-01,5092.638671875,5101.43017578125,5159.919921875,4970.0,5002.27001953125,311600
2025-05-02,5193.83349609375,5202.7998046875,5226.77978515625,5118.2998046875,5179.0498046875,270900
2025-05-05,5182.173828125,5191.1201171875,5250.0,5175.0,5175.0,192500
2025-05-06,5153.4736328125,5162.3701171875,5215.89990234375,5152.080078125,5190.14990234375,182700
2025-05-07,5187.28515625,5196.240234375,5228.5498046875,5132.6201171875,5163.64013671875,157400
2025-05-08,5156.36865234375,5165.27001953125,5238.33984375,5165.2099609375,5201.02001953125,209100
2025-05-09,5063.79833984375,5072.5400390625,5151.43017578125,5038.0,5141.10986328125,228400
2025-05-12,5186.03759765625,5194.990234375,5230.0,5088.52001953125,5179.31005859375,293800
2025-05-13,5253.35107421875,5262.419921875,5302.60986328125,5151.35009765625,5162.35986328125,253600
2025-05-14,5207.56005859375,5216.5498046875,5288.72021484375,5182.56005859375,5258.52978515625,195500
2025-05-15,5228.7138671875,5237.740234375,5285.43017578125,5209.009765625,5213.97021484375,155600
2025-05-16,5307.90673828125,5317.06982421875,5332.43017578125,5221.02001953125,5267.14013671875,200500
2025-05-19,5368.73193359375,5378.0,5379.97998046875,5227.22998046875,5315.02001953125,158700
2025-05-20,5301.52783203125,5310.68017578125,5374.97021484375,5290.0,5332.97998046875,178400
2025-05-21,5284.18798828125,5293.31005859375,5334.08984375,5261.0,5286.60009765625,130900
2025-05-22,5332.7041015625,5341.91015625,5351.7998046875,5285.919921875,5297.490234375,136000
2025-05-23,5323.609375,5332.7998046875,5337.240234375,5272.66015625,5280.72998046875,152400
2025-05-27,5442.34521484375,5451.740234375,5471.77978515625,5356.919921875,5356.919921875,257700
2025-05-28,5465.82421875,5475.259765625,5505.0,5451.740234375,5451.740234375,188600
2025-05-29,5492.51806640625,5502.0,5509.669921875,5435.91015625,5480.0,193600
2025-05-30,5509.4189453125,5518.93017578125,5532.5,5477.06005859375,5510.0,232700
2025-06-02,5529.36474609375,5538.91015625,5544.43017578125,5471.259765625,5500.0,136700
2025-06-03,5465.63427734375,5475.06982421875,5560.4501953125,5464.64013671875,5514.08984375,212400
2025-06-04,5547.42333984375,5557.0,5560.1201171875,5473.5,5473.7998046875,209200
2025-06-05,5560.919921875,5570.52001953125,5639.7001953125,5550.0,5575.0,185700
2025-06-06,5614.60986328125,5614.60986328125,5631.33984375,5553.7900390625,5615.56005859375,174100
2025-06-09,5539.41015625,5539.41015625,5623.6201171875,5528.4501953125,5601.2001953125,199300
2025-06-10,5487.97998046875,5487.97998046875,5546.1298828125,5435.27001953125,5529.9501953125,178600
2025-06-11,5466.27978515625,5466.27978515625,5493.25,5389.9501953125,5488.0,262800
2025-06-12,5461.9501953125,5461.9501953125,5488.0,5425.81005859375,5465.1201171875,193300
2025-06-13,5298.3798828125,5298.3798828125,5373.35009765625,5272.35986328125,5345.0,262000
2025-06-16,5369.0400390625,5369.0400390625,5379.68994140625,5313.02001953125,5324.97998046875,224300
2025-06-17,5301.0498046875,5301.0498046875,5389.35986328125,5285.0,5312.509765625,196200
2025-06-18,5286.259765625,5286.259765625,5351.89990234375,5277.330078125,5306.89990234375,181000
2025-06-20,5304.02978515625,5304.02978515625,5378.0,5275.0,5378.0,441900
2025-06-23,5333.419921875,5333.419921875,5350.0,5235.64990234375,5340.33984375,175600
2025-06-24,5482.22998046875,5482.22998046875,5518.18017578125,5378.5,5390.0,234000
2025-06-25,5485.35009765625,5485.35009765625,5522.22998046875,5440.0,5465.14990234375,177300
2025-06-26,5596.0,5596.0,5632.60986328125,5501.4501953125,5520.66015625,219300
2025-06-27,5693.1298828125,5693.1298828125,5711.47998046875,5613.64013671875,5617.75,297600
2025-06-30,5789.240234375,5789.240234375,5799.009765625,5691.52001953125,5704.10009765625,287700
2025-07-01,5730.72998046875,5730.72998046875,5795.77001953125,5681.27978515625,5740.7998046875,226100
2025-07-02,5701.759765625,5701.759765625,5710.2099609375,5640.0,5690.0,211400
2025-07-03,5716.7998046875,5716.7998046875,5760.39990234375,5652.990234375,5697.2900390625,131200
2025-07-07,5815.919921875,5815.919921875,5815.919921875,5707.93017578125,5725.3798828125,176000
2025-07-08,5713.330078125,5713.330078125,5839.41015625,5678.0,5815.0,236900
2025-07-09,5668.0400390625,5668.0400390625,5767.0,5653.1201171875,5760.27001953125,185000
2025-07-10,5718.509765625,5718.509765625,5766.2900390625,5664.14990234375,5722.1201171875,169200
2025-07-11,5717.10009765625,5717.10009765625,5725.39013671875,5660.64990234375,5692.6201171875,150900
2025-07-14,5766.0400390625,5766.0400390625,5769.93994140625,5689.02978515625,5697.35986328125,134100
2025-07-15,5675.52978515625,5675.52978515625,5790.0,5640.0,5743.60986328125,163700
2025-07-16,5658.1298828125,5658.1298828125,5677.35009765625,5625.22021484375,5652.9599609375,169000
2025-07-17,5683.93994140625,5683.93994140625,5718.419921875,5646.39990234375,5656.5,141500
2025-07-18,5702.89990234375,5702.89990234375,5749.58984375,5684.0,5749.58984375,147100
2025-07-21,5677.14990234375,5677.14990234375,5716.5,5649.9501953125,5665.0,156300
2025-07-22,5775.52978515625,5775.52978515625,5786.0,5677.5,5720.0,143600
2025-07-23,5736.31982421875,5736.31982421875,5769.580078125,5680.0,5765.93017578125,149500
2025-07-24,5650.0,5650.0,5758.830078125,5644.1201171875,5745.93994140625,172500
2025-07-25,5632.27001953125,5632.27001953125,5680.27978515625,5624.2099609375,5678.509765625,184800
2025-07-28,5678.75,5678.75,5685.0,5583.1298828125,5638.81005859375,225600
2025-07-29,5590.77001953125,5590.77001953125,5696.0,5541.64013671875,5696.0,324400
2025-07-30,5612.91015625,5612.91015625,5691.56982421875,5432.0498046875,5490.0,371400
2025-07-31,5504.06005859375,5504.06005859375,5664.41015625,5493.68017578125,5625.0,288400
2025-08-01,5386.2900390625,5386.2900390625,5479.47021484375,5339.1201171875,5479.47021484375,199600
2025-08-04,5476.08984375,5476.08984375,5481.009765625,5339.419921875,5412.0,236900
2025-08-05,5457.85986328125,5457.85986328125,5507.5,5409.7900390625,5503.93017578125,221800
2025-08-06,5536.31005859375,5536.31005859375,5538.830078125,5415.0,5474.47021484375,199000
2025-08-07,5432.10009765625,5432.10009765625,5590.0,5405.669921875,5550.0,202600
2025-08-08,5405.91015625,5405.91015625,5454.02001953125,5366.43017578125,5454.02001953125,188800
2025-08-11,5364.25,5364.25,5431.830078125,5349.08984375,5381.83984375,174900
2025-08-12,5461.5400390625,5461.5400390625,5468.169921875,5364.25,5364.25,144500
2025-08-13,5447.919921875,5447.919921875,5483.33984375,5403.18017578125,5483.33984375,190500
2025-08-14,5484.77001953125,5484.77001953125,5519.2998046875,5418.919921875,5467.0,179800
2025-08-15,5454.2900390625,5454.2900390625,5514.43994140625,5437.22021484375,5514.43994140625,158000
