Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CTAS,CTAS,CTAS,CTAS,CTAS,CTAS
Date,,,,,,
2025-04-17,204.9678192138672,205.75999450683594,207.50999450683594,204.58999633789062,205.97000122070312,1712100
2025-04-21,199.638427734375,200.41000366210938,204.60000610351562,197.30999755859375,204.49000549316406,1405300
2025-04-22,205.04751586914062,205.83999633789062,206.57000732421875,201.6699981689453,202.4600067138672,1565100
2025-04-23,206.89041137695312,207.69000244140625,210.35000610351562,206.05999755859375,207.22000122070312,1786500
2025-04-24,208.94247436523438,209.75,210.3300018310547,205.11000061035156,207.27999877929688,1507100
2025-04-25,207.59765625,208.39999389648438,209.91000366210938,206.32000732421875,209.42999267578125,1172800
2025-04-28,207.47811889648438,208.27999877929688,209.0,205.77999877929688,208.22999572753906,1716100
2025-04-29,208.454345703125,209.25999450683594,209.5500030517578,206.72999572753906,207.14999389648438,1380200
2025-04-30,210.8650360107422,211.67999267578125,212.0,205.60000610351562,208.3699951171875,2053500
2025-05-01,208.7432403564453,209.5500030517578,210.8800048828125,206.77999877929688,210.3300018310547,1439800
2025-05-02,210.73553466796875,211.5500030517578,214.17999267578125,209.99000549316406,211.3000030517578,1373100
2025-05-05,211.00450134277344,211.82000732421875,212.5399932861328,210.10000610351562,211.0,1069100
2025-05-06,212.48875427246094,213.30999755859375,213.66000366210938,209.86000061035156,210.75,1351400
2025-05-07,214.28182983398438,215.11000061035156,216.1999969482422,212.97999572753906,213.3300018310547,1970000
2025-05-08,214.13241577148438,214.9600067138672,218.1999969482422,214.82000732421875,216.25,1542000
2025-05-09,213.9132537841797,214.74000549316406,215.47999572753906,214.0,215.1699981689453,965200
2025-05-12,216.15460205078125,216.99000549316406,218.00999450683594,212.6699981689453,218.00999450683594,1913300
2025-05-13,214.50099182128906,215.3300018310547,218.25999450683594,215.22000122070312,217.39999389648438,1394700
2025-05-14,213.36537170410156,214.19000244140625,214.88999938964844,212.83999633789062,214.36000061035156,1330300
2025-05-15,218.04583740234375,218.49000549316406,218.7100067138672,214.25,214.3699951171875,1376700
2025-05-16,220.4010467529297,220.85000610351562,220.92999267578125,217.25999450683594,218.49000549316406,1431500
2025-05-19,222.57659912109375,223.02999877929688,223.3000030517578,220.0,220.85000610351562,1137100
2025-05-20,222.41693115234375,222.8699951171875,223.00999450683594,218.89999389648438,219.1699981689453,1400300
2025-05-21,220.6006317138672,221.0500030517578,222.77000427246094,220.64999389648438,221.1699981689453,1298000
2025-05-22,221.2093963623047,221.66000366210938,222.92999267578125,219.89999389648438,220.38999938964844,1210200
2025-05-23,221.83810424804688,222.2899932861328,223.07000732421875,219.00999450683594,220.0,1296300
2025-05-27,225.4208221435547,225.8800048828125,226.16000366210938,223.33999633789062,224.42999267578125,1603800
2025-05-28,224.6224365234375,225.0800018310547,226.8699951171875,224.88999938964844,226.00999450683594,994900
2025-05-29,224.29310607910156,224.75,225.9499969482422,223.2100067138672,225.10000610351562,974200
2025-05-30,226.03955078125,226.5,227.8000030517578,224.42999267578125,225.47999572753906,2393600
2025-06-02,226.2291717529297,226.69000244140625,226.72000122070312,223.64999389648438,225.0,1135100
