Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FANG,FANG,FANG,FANG,FANG,FANG
Date,,,,,,
2025-04-17,135.7130889892578,137.63999938964844,139.22000122070312,132.5800018310547,132.5800018310547,3667400
2025-04-21,130.4971466064453,132.35000610351562,134.35000610351562,130.32000732421875,134.17999267578125,2180300
2025-04-22,134.62847900390625,136.5399932861328,137.97000122070312,134.3800048828125,135.1199951171875,1731900
2025-04-23,133.64248657226562,135.5399932861328,140.0,134.38999938964844,137.7899932861328,2130200
2025-04-24,134.25381469726562,136.16000366210938,137.80999755859375,135.11000061035156,136.94000244140625,2054400
2025-04-25,134.84539794921875,136.75999450683594,137.25,134.85000610351562,135.11000061035156,1608400
2025-04-28,135.89056396484375,137.82000732421875,138.60000610351562,136.24000549316406,136.41000366210938,1664800
2025-04-29,134.7369384765625,136.64999389648438,138.00999450683594,135.33999633789062,137.80999755859375,1665100
2025-04-30,130.1619110107422,132.00999450683594,134.60000610351562,130.50999450683594,134.44000244140625,1980000
2025-05-01,132.9424285888672,134.8300018310547,136.39999389648438,130.89999389648438,131.30999755859375,2158100
2025-05-02,134.8946990966797,136.80999755859375,137.85000610351562,133.82000732421875,136.55999755859375,2368000
2025-05-05,131.21693420410156,133.0800018310547,135.05999755859375,132.0500030517578,134.0,2865800
2025-05-06,130.13232421875,131.97999572753906,137.0,131.32000732421875,133.89999389648438,3775900
2025-05-07,127.75607299804688,129.57000732421875,132.88999938964844,127.75,132.77000427246094,2549200
2025-05-08,134.2735137939453,136.17999267578125,137.3300018310547,130.47999572753906,130.47999572753906,2555000
2025-05-09,135.9595947265625,137.88999938964844,139.35000610351562,136.64999389648438,138.0,1944500
2025-05-12,140.91917419433594,142.9199981689453,147.75,142.07000732421875,144.83999633789062,2264700
2025-05-13,144.1236572265625,146.1699981689453,147.69000244140625,142.89999389648438,143.61000061035156,2010200
2025-05-14,142.79257202148438,144.82000732421875,145.9499969482422,143.97999572753906,144.52999877929688,1621500
2025-05-15,140.93592834472656,141.9499969482422,142.02000427246094,138.52000427246094,140.19000244140625,2596100
2025-05-16,140.12179565429688,141.1300048828125,142.77000427246094,139.22000122070312,142.77000427246094,2291900
2025-05-19,138.35450744628906,139.35000610351562,140.24000549316406,137.6199951171875,139.92999267578125,1476400
2025-05-20,137.3616485595703,138.35000610351562,139.82000732421875,137.44000244140625,139.17999267578125,1104900
2025-05-21,135.33621215820312,136.30999755859375,138.6699981689453,136.1199951171875,138.35000610351562,1650200
2025-05-22,135.3163604736328,136.2899932861328,136.86000061035156,132.1999969482422,134.75999450683594,1928900
2025-05-23,134.88943481445312,135.86000061035156,136.6199951171875,133.75,134.30999755859375,1766200
2025-05-27,136.50779724121094,137.49000549316406,138.11000061035156,135.5399932861328,137.7899932861328,1787100
2025-05-28,135.30642700195312,136.27999877929688,139.22000122070312,135.94000244140625,139.22000122070312,1904900
2025-05-29,136.82550048828125,137.80999755859375,138.19000244140625,136.1300048828125,137.47000122070312,2103100
2025-05-30,133.5887908935547,134.5500030517578,136.7100067138672,133.75,136.63999938964844,4362800
2025-06-02,136.60707092285156,137.58999633789062,139.02999877929688,135.86000061035156,138.4499969482422,2118500
2025-06-03,141.26356506347656,142.27999877929688,143.3000030517578,135.8800048828125,138.0,2770700
2025-06-04,138.35450744628906,139.35000610351562,144.0,138.3800048828125,142.13999938964844,2444000
2025-06-05,136.46807861328125,137.4499969482422,140.39999389648438,136.8300018310547,140.25999450683594,2062800
2025-06-06,139.5558624267578,140.55999755859375,141.2100067138672,139.0,139.27000427246094,1776700
2025-06-09,141.11465454101562,142.1300048828125,143.32000732421875,140.35000610351562,141.4199981689453,1735600
2025-06-10,144.5300750732422,145.57000732421875,147.55999755859375,142.75,143.0,2282200
2025-06-11,147.85614013671875,148.9199981689453,149.36000061035156,144.3000030517578,145.8000030517578,3217700
2025-06-12,148.26321411132812,149.3300018310547,149.38999938964844,145.88999938964844,147.14999389648438,1758700
2025-06-13,153.8033447265625,154.91000366210938,158.0,152.52000427246094,157.33999633789062,5208100
2025-06-16,149.95106506347656,151.02999877929688,155.22000122070312,148.8300018310547,154.13999938964844,3828700
2025-06-17,151.8374786376953,152.92999267578125,156.02999877929688,151.11000061035156,153.07000732421875,3360000
2025-06-18,147.71713256835938,148.77999877929688,155.11000061035156,148.44000244140625,153.42999267578125,2978500
2025-06-20,147.78663635253906,148.85000610351562,150.6999969482422,148.11000061035156,150.3300018310547,4309700
2025-06-23,140.14163208007812,141.14999389648438,151.0,140.77999877929688,151.0,4574200
2025-06-24,138.35450744628906,139.35000610351562,141.22999572753906,137.10000610351562,138.27999877929688,3222300
2025-06-25,137.05384826660156,138.0399932861328,140.63999938964844,137.74000549316406,139.02000427246094,2068400
2025-06-26,139.8636474609375,140.8699951171875,141.60000610351562,137.77000427246094,138.72000122070312,1581900
2025-06-27,138.77151489257812,139.77000427246094,141.32000732421875,138.99000549316406,140.58999633789062,2781700
2025-06-30,136.41842651367188,137.39999389648438,139.16000366210938,136.9499969482422,139.16000366210938,2386100
2025-07-01,139.19842529296875,140.1999969482422,141.89999389648438,136.39999389648438,137.8000030517578,2014200
2025-07-02,140.95579528808594,141.97000122070312,142.8699951171875,138.9499969482422,141.97000122070312,1852400
2025-07-03,139.89341735839844,140.89999389648438,142.2100067138672,140.25,141.6999969482422,1199600
2025-07-07,136.93472290039062,137.9199981689453,141.2100067138672,135.99000549316406,140.2899932861328,1717300
2025-07-08,142.7329864501953,143.75999450683594,145.24000549316406,137.35000610351562,137.63999938964844,2482000
2025-07-09,141.10470581054688,142.1199951171875,144.0,141.50999450683594,143.5399932861328,1237300
2025-07-10,142.00820922851562,143.02999877929688,143.1999969482422,139.36000061035156,141.08999633789062,1793300
2025-07-11,143.29893493652344,144.3300018310547,145.4600067138672,141.94000244140625,142.69000244140625,1333400
