Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IFF,IFF,IFF,IFF,IFF,IFF
Date,,,,,,
2025-04-17,72.11276245117188,72.5,74.0,71.33999633789062,71.58000183105469,3005300
2025-04-21,72.32164001464844,72.70999908447266,72.87999725341797,71.80999755859375,72.87999725341797,1574600
2025-04-22,74.2413330078125,74.63999938964844,74.88999938964844,73.41999816894531,73.51000213623047,1165300
2025-04-23,75.45481872558594,75.86000061035156,77.05999755859375,75.30999755859375,75.77999877929688,2030000
2025-04-24,76.23065185546875,76.63999938964844,76.94000244140625,75.37000274658203,76.0,994500
2025-04-25,75.8327865600586,76.23999786376953,76.7300033569336,75.2699966430664,76.0,1349700
2025-04-28,75.88252258300781,76.29000091552734,76.91999816894531,75.55999755859375,76.4000015258789,1015900
2025-04-29,77.13579559326172,77.55000305175781,77.63999938964844,76.4000015258789,76.55000305175781,1182200
2025-04-30,78.04093170166016,78.45999908447266,78.55000305175781,76.4800033569336,76.76000213623047,1829800
2025-05-01,77.43418884277344,77.8499984741211,78.41000366210938,77.1500015258789,77.61000061035156,1728600
2025-05-02,78.63772583007812,79.05999755859375,79.48999786376953,78.20999908447266,78.91999816894531,1129400
2025-05-05,78.72724914550781,79.1500015258789,79.56999969482422,78.63999938964844,78.88999938964844,1143900
2025-05-06,78.7769775390625,79.19999694824219,79.37000274658203,78.26000213623047,79.05000305175781,1735500
2025-05-07,73.19693756103516,73.58999633789062,79.83999633789062,73.4800033569336,77.58999633789062,3863700
2025-05-08,73.684326171875,74.08000183105469,75.7699966430664,73.94000244140625,74.69999694824219,2448000
2025-05-09,73.03779602050781,73.43000030517578,74.41999816894531,73.37000274658203,73.94000244140625,1856100
2025-05-12,75.94219970703125,76.3499984741211,77.27999877929688,75.80000305175781,75.94999694824219,1891700
2025-05-13,76.09140014648438,76.5,76.62999725341797,75.33000183105469,76.5,1918400
2025-05-14,74.23138427734375,74.62999725341797,76.4800033569336,74.61000061035156,76.2699966430664,2098700
2025-05-15,75.72337341308594,76.12999725341797,76.26000213623047,74.5999984741211,74.80999755859375,1484100
2025-05-16,77.30488586425781,77.72000122070312,77.75,76.18000030517578,76.36000061035156,1384500
2025-05-19,76.92691040039062,77.33999633789062,77.83000183105469,77.02999877929688,77.22000122070312,1064700
2025-05-20,77.46402740478516,77.87999725341797,78.3499984741211,76.6500015258789,77.33000183105469,1533700
2025-05-21,76.65835571289062,77.06999969482422,78.66000366210938,76.80999755859375,77.41000366210938,1985100
2025-05-22,75.31556701660156,75.72000122070312,77.33999633789062,75.55999755859375,76.81999969482422,2021400
2025-05-23,74.59941101074219,75.0,75.55000305175781,74.26000213623047,74.95999908447266,1402500
2025-05-27,76.82744598388672,77.23999786376953,77.30999755859375,75.41000366210938,75.66999816894531,1639900
2025-05-28,74.73866271972656,75.13999938964844,77.11000061035156,75.0,76.91999816894531,1308800
2025-05-29,75.67364501953125,76.08000183105469,76.08999633789062,75.19000244140625,75.69999694824219,1026600
2025-05-30,76.15107727050781,76.55999755859375,76.73999786376953,75.1500015258789,75.76000213623047,2754600
2025-06-02,75.30561828613281,75.70999908447266,76.51000213623047,75.26000213623047,76.11000061035156,1557400
2025-06-03,76.25054931640625,76.66000366210938,76.72000122070312,75.11000061035156,75.47000122070312,1159500
2025-06-04,77.05622100830078,77.47000122070312,78.23999786376953,76.44999694824219,76.87000274658203,1410900
2025-06-05,76.0516128540039,76.45999908447266,77.91999816894531,76.16000366210938,77.7699966430664,1272900
2025-06-06,76.48926544189453,76.9000015258789,77.30999755859375,76.66000366210938,76.9000015258789,662800
2025-06-09,77.78231811523438,78.19999694824219,78.83000183105469,77.2300033569336,77.2300033569336,1251100
2025-06-10,78.90628814697266,79.33000183105469,79.98999786376953,78.2699966430664,78.4800033569336,1779000
2025-06-11,77.91162872314453,78.33000183105469,79.41999816894531,77.94999694824219,79.33000183105469,1155800
2025-06-12,77.951416015625,78.37000274658203,78.81999969482422,77.55999755859375,77.76000213623047,1119600
2025-06-13,75.68358612060547,76.08999633789062,77.91999816894531,76.01000213623047,77.01000213623047,1058300
2025-06-16,76.33011627197266,76.73999786376953,76.95999908447266,76.33999633789062,76.8499984741211,940600
2025-06-17,74.6292495727539,75.02999877929688,76.83999633789062,74.70999908447266,76.41000366210938,1260900
2025-06-18,74.48999786376953,74.88999938964844,75.37999725341797,74.51000213623047,74.76000213623047,1453300
2025-06-20,73.69000244140625,73.69000244140625,75.2300033569336,73.6500015258789,74.72000122070312,3650500
2025-06-23,73.76000213623047,73.76000213623047,74.18000030517578,72.62999725341797,73.63999938964844,1737400
2025-06-24,74.72000122070312,74.72000122070312,75.6500015258789,73.63999938964844,74.05000305175781,1834300
2025-06-25,74.2300033569336,74.2300033569336,74.68000030517578,73.6500015258789,74.02999877929688,1671300
2025-06-26,73.91999816894531,73.91999816894531,75.05000305175781,73.69999694824219,74.62000274658203,1325400
2025-06-27,74.3499984741211,74.3499984741211,74.6500015258789,73.93000030517578,74.2300033569336,1806900
2025-06-30,73.55000305175781,73.55000305175781,74.31999969482422,73.3499984741211,73.95999908447266,2629600
2025-07-01,75.08999633789062,75.08999633789062,75.7300033569336,73.06999969482422,73.62000274658203,2618200
2025-07-02,76.62999725341797,76.62999725341797,76.69000244140625,74.5,75.7300033569336,1954000
2025-07-03,76.33000183105469,76.33000183105469,77.37000274658203,76.2300033569336,77.19999694824219,838200
2025-07-07,75.0,75.0,76.08999633789062,74.75,75.9000015258789,1158900
2025-07-08,76.18000030517578,76.18000030517578,76.45999908447266,74.87999725341797,75.12000274658203,1417800
2025-07-09,76.55000305175781,76.55000305175781,76.7699966430664,75.70999908447266,76.44000244140625,1224700
2025-07-10,76.62000274658203,76.62000274658203,77.61000061035156,76.0999984741211,76.55000305175781,1114800
2025-07-11,75.94999694824219,75.94999694824219,76.19000244140625,74.94999694824219,75.4800033569336,1099300
2025-07-14,74.62999725341797,74.62999725341797,75.69000244140625,74.62000274658203,75.5199966430664,1320600
