Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LYV,LYV,LYV,LYV,LYV,LYV
Date,,,,,,
2025-04-17,127.22000122070312,127.22000122070312,128.74000549316406,125.13999938964844,126.37999725341797,2566600
2025-04-21,123.4800033569336,123.4800033569336,127.5,122.08000183105469,127.0,2056000
2025-04-22,128.5,128.5,128.83999633789062,125.05000305175781,125.73999786376953,2636100
2025-04-23,131.27999877929688,131.27999877929688,134.5399932861328,130.49000549316406,131.83999633789062,3284700
2025-04-24,132.72000122070312,132.72000122070312,133.8699951171875,129.02000427246094,130.89999389648438,1742600
2025-04-25,132.75999450683594,132.75999450683594,133.33999633789062,131.47000122070312,132.72000122070312,1277500
2025-04-28,133.27000427246094,133.27000427246094,134.24000549316406,132.02000427246094,133.41000366210938,1389600
2025-04-29,132.3000030517578,132.3000030517578,133.75,130.39999389648438,132.6999969482422,1879400
2025-04-30,132.4499969482422,132.4499969482422,132.60000610351562,127.76000213623047,129.97999572753906,1969800
2025-05-01,131.33999633789062,131.33999633789062,133.97999572753906,131.11000061035156,133.3800048828125,3055400
2025-05-02,133.77000427246094,133.77000427246094,134.80999755859375,128.6999969482422,131.67999267578125,3356700
2025-05-05,136.1199951171875,136.1199951171875,137.3800048828125,132.22999572753906,132.72999572753906,2968900
2025-05-06,134.14999389648438,134.14999389648438,135.80999755859375,133.1699981689453,134.3000030517578,1500300
2025-05-07,134.1300048828125,134.1300048828125,136.72999572753906,131.64999389648438,134.4199981689453,2880300
2025-05-08,134.69000244140625,134.69000244140625,136.3300018310547,133.4600067138672,135.02999877929688,1512700
2025-05-09,136.52000427246094,136.52000427246094,136.9499969482422,134.85000610351562,134.9199981689453,1256700
2025-05-12,140.8300018310547,140.8300018310547,141.08999633789062,138.4600067138672,139.4199981689453,1744500
2025-05-13,143.0,143.0,144.0,140.16000366210938,141.47999572753906,1576300
2025-05-14,142.22000122070312,142.22000122070312,144.35000610351562,141.08999633789062,142.5399932861328,1500400
2025-05-15,145.4199981689453,145.4199981689453,145.85000610351562,141.77000427246094,141.97999572753906,2443800
2025-05-16,147.67999267578125,147.67999267578125,148.00999450683594,144.22999572753906,145.63999938964844,2876800
2025-05-19,148.3000030517578,148.3000030517578,148.4600067138672,144.91000366210938,145.33999633789062,1624200
2025-05-20,146.2899932861328,146.2899932861328,147.83999633789062,145.11000061035156,147.17999267578125,1763500
2025-05-21,144.1699981689453,144.1699981689453,146.92999267578125,143.83999633789062,145.08999633789062,2911200
2025-05-22,144.42999267578125,144.42999267578125,145.55999755859375,142.5,144.17999267578125,1846400
2025-05-23,145.00999450683594,145.00999450683594,145.22000122070312,142.22000122070312,142.60000610351562,1898400
2025-05-27,143.02000427246094,143.02000427246094,147.14999389648438,142.60000610351562,146.2899932861328,1793000
2025-05-28,140.22000122070312,140.22000122070312,143.39999389648438,140.16000366210938,143.39999389648438,1607000
2025-05-29,136.14999389648438,136.14999389648438,137.4600067138672,134.74000549316406,135.9199981689453,9569200
2025-05-30,137.19000244140625,137.19000244140625,137.55999755859375,134.91000366210938,135.92999267578125,6715500
2025-06-02,138.5500030517578,138.5500030517578,138.77999877929688,134.85000610351562,136.91000366210938,4951000
2025-06-03,136.63999938964844,136.63999938964844,138.99000549316406,135.0399932861328,138.3699951171875,4370400
2025-06-04,140.1699981689453,140.1699981689453,140.91000366210938,137.25,137.41000366210938,4162000
2025-06-05,144.02999877929688,144.02999877929688,144.97000122070312,141.16000366210938,141.1999969482422,5002800
2025-06-06,144.14999389648438,144.14999389648438,145.67999267578125,142.9600067138672,145.41000366210938,3829100
2025-06-09,143.47999572753906,143.47999572753906,145.0,141.49000549316406,144.1999969482422,3392100
2025-06-10,143.7100067138672,143.7100067138672,144.58999633789062,141.6699981689453,144.3699951171875,1530300
2025-06-11,143.58999633789062,143.58999633789062,144.5,142.82000732421875,143.9499969482422,1943800
2025-06-12,141.30999755859375,141.30999755859375,143.74000549316406,140.7899932861328,143.0,1480600
2025-06-13,138.1699981689453,138.1699981689453,140.1199951171875,137.8800048828125,139.80999755859375,1794100
2025-06-16,142.32000732421875,142.32000732421875,142.89999389648438,139.52000427246094,139.69000244140625,3232800
2025-06-17,145.58999633789062,145.58999633789062,145.6999969482422,141.13999938964844,141.5800018310547,2874000
2025-06-18,148.25999450683594,148.25999450683594,148.74000549316406,145.5,146.2100067138672,3994900
2025-06-20,148.8699951171875,148.8699951171875,150.80999755859375,148.10000610351562,149.64999389648438,6524600
2025-06-23,150.69000244140625,150.69000244140625,151.88999938964844,147.9499969482422,149.1199951171875,2525300
2025-06-24,147.77999877929688,147.77999877929688,151.3800048828125,147.5,150.6999969482422,2578900
2025-06-25,146.19000244140625,146.19000244140625,148.30999755859375,145.1999969482422,147.92999267578125,1251800
2025-06-26,147.1999969482422,147.1999969482422,147.4199981689453,144.33999633789062,146.5399932861328,1493400
2025-06-27,149.99000549316406,149.99000549316406,150.66000366210938,146.82000732421875,147.44000244140625,3435700
2025-06-30,151.27999877929688,151.27999877929688,151.60000610351562,149.88999938964844,150.5800018310547,2030600
2025-07-01,149.8800048828125,149.8800048828125,152.1999969482422,148.7899932861328,150.72000122070312,1636000
2025-07-02,149.11000061035156,149.11000061035156,150.36000061035156,148.2100067138672,149.8699951171875,2766800
2025-07-03,149.27000427246094,149.27000427246094,151.0800018310547,148.94000244140625,149.4199981689453,925400
2025-07-07,147.38999938964844,147.38999938964844,149.74000549316406,146.39999389648438,149.27000427246094,2612900
2025-07-08,144.42999267578125,144.42999267578125,148.0399932861328,142.24000549316406,147.36000061035156,2020500
