Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MPWR,MPWR,MPWR,MPWR,MPWR,MPWR
Date,,,,,,
2025-04-17,522.4702758789062,523.5800170898438,539.8200073242188,514.2899780273438,538.0,864600
2025-04-21,507.1129150390625,508.19000244140625,514.8300170898438,496.3999938964844,512.719970703125,798700
2025-04-22,510.7352294921875,511.82000732421875,526.5700073242188,506.30999755859375,512.3599853515625,859100
2025-04-23,535.8318481445312,536.969970703125,553.97998046875,532.7100219726562,545.9099731445312,828700
2025-04-24,579.5191040039062,580.75,582.5700073242188,546.760009765625,548.4099731445312,1046700
2025-04-25,582.4827880859375,583.719970703125,588.25,568.9600219726562,577.2100219726562,508700
2025-04-28,583.9696655273438,585.2100219726562,591.3900146484375,564.219970703125,580.0700073242188,552300
2025-04-29,585.4963989257812,586.739990234375,593.760009765625,574.8699951171875,584.1400146484375,783800
2025-04-30,591.8428955078125,593.0999755859375,595.9199829101562,562.3800048828125,565.2100219726562,784700
2025-05-01,600.3548583984375,601.6300048828125,614.0,594.8400268554688,600.0,990100
2025-05-02,635.5401611328125,636.8900146484375,649.4000244140625,608.9600219726562,614.6799926757812,1651600
2025-05-05,626.0702514648438,627.4000244140625,642.5999755859375,626.0,634.6599731445312,629000
2025-05-06,621.6695556640625,622.989990234375,631.4199829101562,612.9500122070312,620.2899780273438,567200
2025-05-07,635.3605346679688,636.7100219726562,640.52001953125,613.0,621.6699829101562,569400
2025-05-08,638.5736694335938,639.9299926757812,656.4099731445312,630.0,648.7899780273438,638300
2025-05-09,636.4182739257812,637.77001953125,656.0,630.6199951171875,647.47998046875,639200
2025-05-12,707.726806640625,709.22998046875,721.0,680.0,693.97998046875,1506800
2025-05-13,736.1663818359375,737.72998046875,742.2000122070312,705.75,705.75,909300
2025-05-14,732.7237548828125,734.280029296875,755.0,725.8499755859375,737.0,589500
2025-05-15,708.8145141601562,710.3200073242188,730.3599853515625,703.3499755859375,725.6199951171875,981400
2025-05-16,713.8837280273438,715.4000244140625,716.7899780273438,696.4500122070312,712.75,362000
2025-05-19,700.9013061523438,702.3900146484375,706.7000122070312,688.0999755859375,692.780029296875,512400
2025-05-20,698.6859741210938,700.1699829101562,702.22998046875,692.77001953125,695.5,420900
2025-05-21,677.1817016601562,678.6199951171875,703.969970703125,674.469970703125,691.0,487500
