Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PGR,PGR,PGR,PGR,PGR,PGR
Date,,,,,,
2025-04-17,265.3470458984375,265.45001220703125,274.44000244140625,265.0,272.5199890136719,3648800
2025-04-21,257.3101501464844,257.4100036621094,264.9700012207031,254.2100067138672,264.17999267578125,2775400
2025-04-22,264.9771728515625,265.0799865722656,265.8500061035156,258.739990234375,260.239990234375,3712300
2025-04-23,264.92718505859375,265.0299987792969,267.010009765625,263.1199951171875,265.0799865722656,2001200
2025-04-24,265.0871276855469,265.19000244140625,266.010009765625,262.20001220703125,264.7799987792969,1821600
2025-04-25,264.9071960449219,265.010009765625,265.7099914550781,260.75,265.0299987792969,1826900
2025-04-28,269.47540283203125,269.5799865722656,270.29998779296875,266.0799865722656,268.5899963378906,2104200
2025-04-29,276.20281982421875,276.30999755859375,277.0899963378906,269.6499938964844,270.25,2690600
2025-04-30,281.6307067871094,281.739990234375,282.6000061035156,274.0,277.3900146484375,3124900
2025-05-01,277.55230712890625,277.6600036621094,280.0,276.0,278.8599853515625,2474500
2025-05-02,282.7002868652344,282.80999755859375,283.44000244140625,278.5799865722656,279.05999755859375,1566100
2025-05-05,282.050537109375,282.1600036621094,284.0,279.3500061035156,282.42999267578125,2229200
2025-05-06,283.5499572753906,283.6600036621094,284.44000244140625,280.69000244140625,281.5,1927200
2025-05-07,286.2689208984375,286.3800048828125,287.489990234375,282.9100036621094,283.5799865722656,2304600
2025-05-08,283.80987548828125,283.9200134277344,286.20001220703125,283.1300048828125,285.1000061035156,2147000
2025-05-09,284.399658203125,284.510009765625,287.0,283.1099853515625,283.5799865722656,1542700
2025-05-12,280.14129638671875,280.25,286.260009765625,274.7099914550781,284.0400085449219,3349100
2025-05-13,282.4803771972656,282.5899963378906,285.0799865722656,279.3999938964844,280.30999755859375,3014500
2025-05-14,278.0621032714844,278.1700134277344,284.4800109863281,277.4800109863281,283.7300109863281,2422700
2025-05-15,281.0409240722656,281.1499938964844,281.8399963378906,277.8800048828125,278.8500061035156,4913600
2025-05-16,285.9190368652344,286.0299987792969,286.1300048828125,280.79998779296875,280.8500061035156,2779500
2025-05-19,288.128173828125,288.239990234375,289.1000061035156,284.75,286.6400146484375,1825900
2025-05-20,285.5191955566406,285.6300048828125,288.9200134277344,285.29998779296875,286.9200134277344,1844800
2025-05-21,280.8909912109375,281.0,285.79998779296875,278.3299865722656,283.8399963378906,3127500
2025-05-22,277.01251220703125,277.1199951171875,281.0,275.9599914550781,280.1400146484375,2505700
2025-05-23,277.1924133300781,277.29998779296875,278.8699951171875,276.5,277.80999755859375,1677600
2025-05-27,278.6418762207031,278.75,280.3599853515625,273.4200134277344,276.80999755859375,3468200
2025-05-28,276.92254638671875,277.0299987792969,280.44000244140625,275.3500061035156,275.3699951171875,3182600
2025-05-29,277.1924133300781,277.29998779296875,277.3699951171875,275.3800048828125,276.3900146484375,2270700
2025-05-30,284.8194580078125,284.92999267578125,285.239990234375,276.5,277.1199951171875,5075000
2025-06-02,288.62799072265625,288.739990234375,288.8299865722656,281.6000061035156,283.2200012207031,2107600
2025-06-03,287.1385803222656,287.25,289.9599914550781,281.1700134277344,287.8399963378906,2896500
2025-06-04,282.060546875,282.1700134277344,288.3500061035156,281.67999267578125,288.3500061035156,2432100
2025-06-05,280.09130859375,280.20001220703125,283.75,279.4800109863281,283.260009765625,2520800
2025-06-06,279.211669921875,279.32000732421875,283.95001220703125,278.67999267578125,282.1000061035156,2442300
2025-06-09,271.2047424316406,271.30999755859375,278.7099914550781,266.010009765625,278.0,5885900
2025-06-10,265.3869934082031,265.489990234375,271.0,264.54998779296875,270.1000061035156,3987300
2025-06-11,263.1178894042969,263.2200012207031,265.5,262.1099853515625,264.9599914550781,3013400
2025-06-12,268.3158874511719,268.4200134277344,268.45001220703125,262.92999267578125,263.3500061035156,3045600
2025-06-13,267.74609375,267.8500061035156,269.8399963378906,266.6300048828125,268.5,3152200
2025-06-16,266.3266296386719,266.42999267578125,269.7799987792969,265.67999267578125,268.489990234375,3509200
2025-06-17,265.6669006347656,265.7699890136719,266.8500061035156,262.8999938964844,265.510009765625,2495200
2025-06-18,260.22900390625,260.3299865722656,266.260009765625,257.6099853515625,265.1499938964844,4771900
