Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SYK,SYK,SYK,SYK,SYK,SYK
Date,,,,,,
2025-04-17,345.7604064941406,346.5,351.0400085449219,343.19000244140625,346.1700134277344,1349900
2025-04-21,338.86517333984375,339.5899963378906,345.6400146484375,335.1199951171875,344.7099914550781,1312500
2025-04-22,347.376953125,348.1199951171875,349.45001220703125,341.510009765625,342.1199951171875,1506800
2025-04-23,356.3477478027344,357.1099853515625,368.3699951171875,355.1000061035156,355.1099853515625,1521400
2025-04-24,360.27935791015625,361.04998779296875,361.3299865722656,354.4700012207031,358.6499938964844,1349800
2025-04-25,364.2807922363281,365.05999755859375,366.239990234375,359.3800048828125,360.6000061035156,1462600
2025-04-28,365.7077331542969,366.489990234375,368.95001220703125,363.9100036621094,366.989990234375,1223300
2025-04-29,370.1282958984375,370.9200134277344,372.32000732421875,365.80999755859375,366.9800109863281,1108300
2025-04-30,373.1219177246094,373.9200134277344,375.1600036621094,366.55999755859375,370.0,2251700
2025-05-01,373.1917419433594,373.989990234375,376.17999267578125,368.5400085449219,372.4200134277344,1634300
2025-05-02,377.4127197265625,378.2200012207031,379.3299865722656,363.0799865722656,373.8900146484375,3709100
2025-05-05,380.5459899902344,381.3599853515625,383.989990234375,373.05999755859375,377.8500061035156,1619400
2025-05-06,376.7142028808594,377.5199890136719,381.57000732421875,373.9800109863281,379.1300048828125,2082800
2025-05-07,383.240234375,384.05999755859375,384.5799865722656,376.29998779296875,377.4700012207031,1196100
2025-05-08,381.6436462402344,382.4599914550781,388.32000732421875,382.3599853515625,383.9599914550781,927000
2025-05-09,380.1069641113281,380.9200134277344,384.54998779296875,380.2799987792969,382.20001220703125,758800
2025-05-12,387.25164794921875,388.0799865722656,392.4200134277344,386.5,389.07000732421875,1359300
2025-05-13,386.7028503417969,387.5299987792969,390.4599914550781,385.7799987792969,388.6700134277344,862600
2025-05-14,385.49542236328125,386.32000732421875,388.0199890136719,384.760009765625,386.9599914550781,1107700
2025-05-15,391.3628845214844,392.20001220703125,392.6300048828125,384.5799865722656,388.5,1124400
2025-05-16,393.3685607910156,394.2099914550781,394.489990234375,389.6000061035156,393.1000061035156,1114000
2025-05-19,393.8475646972656,394.69000244140625,394.9200134277344,390.0,392.3500061035156,1072300
2025-05-20,388.718505859375,389.54998779296875,393.32000732421875,387.989990234375,392.3399963378906,1047400
2025-05-21,378.939453125,379.75,388.6199951171875,379.1600036621094,387.54998779296875,1459700
2025-05-22,377.47259521484375,378.2799987792969,380.6199951171875,375.8599853515625,378.1400146484375,1049000
2025-05-23,375.8161315917969,376.6199951171875,379.5299987792969,371.2699890136719,375.54998779296875,1579800
2025-05-27,382.9608459472656,383.7799987792969,385.3999938964844,380.0,380.7200012207031,1099100
2025-05-28,379.5780944824219,380.3900146484375,385.3500061035156,379.7300109863281,381.9599914550781,1158200
2025-05-29,381.5339050292969,382.3500061035156,384.6600036621094,378.4800109863281,381.2799987792969,840300
2025-05-30,381.82330322265625,382.6400146484375,384.1600036621094,378.4700012207031,381.79998779296875,1993100
2025-06-02,380.04705810546875,380.8599853515625,381.07000732421875,375.54998779296875,379.55999755859375,852700
2025-06-03,380.19677734375,381.010009765625,382.1300048828125,377.6099853515625,378.94000244140625,1100400
2025-06-04,381.73345947265625,382.54998779296875,383.8299865722656,380.5899963378906,382.2799987792969,838100
2025-06-05,382.28228759765625,383.1000061035156,384.6000061035156,381.6600036621094,384.6000061035156,904800
2025-06-06,383.07061767578125,383.8900146484375,388.69000244140625,382.79998779296875,385.4200134277344,709000
2025-06-09,381.46405029296875,382.2799987792969,384.0299987792969,377.6000061035156,383.510009765625,943500
2025-06-10,384.2281188964844,385.04998779296875,386.2900085449219,381.8399963378906,383.04998779296875,952200
2025-06-11,380.2666015625,381.0799865722656,385.4200134277344,379.79998779296875,385.07000732421875,792300
2025-06-12,379.6778564453125,380.489990234375,381.5899963378906,378.0199890136719,381.2900085449219,877900
2025-06-13,376.4946594238281,377.29998779296875,382.3500061035156,376.7900085449219,377.2200012207031,876000
2025-06-16,376.3150634765625,377.1199951171875,381.6199951171875,375.9599914550781,379.1300048828125,965100
2025-06-17,372.57305908203125,373.3699951171875,376.989990234375,370.8500061035156,376.44000244140625,1338100
2025-06-18,372.46331787109375,373.260009765625,376.6400146484375,372.04998779296875,374.07000732421875,854700
2025-06-20,374.7583923339844,375.55999755859375,377.8999938964844,373.7799987792969,374.8900146484375,2014500
2025-06-23,378.3507080078125,379.1600036621094,379.489990234375,372.4800109863281,375.1300048828125,1281800
