Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VRSN,VRSN,VRSN,VRSN,VRSN,VRSN
Date,,,,,,
2025-04-17,245.99917602539062,246.6699981689453,247.97000122070312,244.80999755859375,245.7899932861328,628300
2025-04-21,240.6836700439453,241.33999633789062,246.5800018310547,239.39999389648438,245.86000061035156,768200
2025-04-22,247.4053497314453,248.0800018310547,248.41000366210938,242.14999389648438,244.39999389648438,727500
2025-04-23,250.67642211914062,251.36000061035156,252.22000122070312,248.64999389648438,248.97000122070312,876600
2025-04-24,251.903076171875,252.58999633789062,256.1300048828125,250.08999633789062,252.77999877929688,1318000
2025-04-25,272.04815673828125,272.7900085449219,276.7099914550781,250.30999755859375,252.0,1387100
2025-04-28,275.43890380859375,276.19000244140625,279.94000244140625,273.1000061035156,274.9100036621094,1123900
2025-04-29,277.60296630859375,278.3599853515625,279.239990234375,275.0299987792969,275.0299987792969,887900
2025-04-30,281.3527526855469,282.1199951171875,282.489990234375,275.2200012207031,278.2699890136719,1248100
2025-05-01,278.9393615722656,279.70001220703125,283.6300048828125,278.0799865722656,282.7200012207031,1239500
2025-05-02,283.3174133300781,284.0899963378906,284.4200134277344,280.6300048828125,280.6300048828125,1190400
2025-05-05,283.7761535644531,284.54998779296875,285.7300109863281,281.3999938964844,282.1000061035156,1027100
2025-05-06,282.44976806640625,283.2200012207031,285.1700134277344,282.0899963378906,283.0,1096200
2025-05-07,286.5984802246094,287.3800048828125,288.95001220703125,282.9599914550781,283.2099914550781,1188100
2025-05-08,284.4343566894531,285.2099914550781,288.0299987792969,284.45001220703125,287.95001220703125,923500
2025-05-09,280.64471435546875,281.4100036621094,285.30999755859375,280.5,284.7200012207031,953900
2025-05-12,278.82965087890625,279.5899963378906,285.0,274.45001220703125,284.79998779296875,1738700
2025-05-13,275.1995544433594,275.95001220703125,282.3800048828125,275.6099853515625,280.1499938964844,880900
2025-05-14,275.6483154296875,276.3999938964844,277.07000732421875,274.2799987792969,275.42999267578125,748400
2025-05-15,280.87408447265625,281.6400146484375,281.75,276.44000244140625,276.6600036621094,794200
2025-05-16,282.3699951171875,283.1400146484375,283.3900146484375,279.6499938964844,280.5,710400
2025-05-19,282.489990234375,282.489990234375,284.0799865722656,281.6600036621094,282.0,488700
2025-05-20,280.8399963378906,280.8399963378906,283.0,278.3599853515625,281.7799987792969,888100
2025-05-21,281.0799865722656,281.0799865722656,282.0,279.29998779296875,279.4200134277344,786700
2025-05-22,281.8599853515625,281.8599853515625,282.7699890136719,279.6400146484375,280.92999267578125,907900
2025-05-23,279.760009765625,279.760009765625,282.1000061035156,279.0899963378906,280.3900146484375,556600
2025-05-27,269.55999755859375,269.55999755859375,282.8500061035156,265.239990234375,282.0,1191800
2025-05-28,269.1400146484375,269.1400146484375,272.30999755859375,268.489990234375,268.489990234375,700700
2025-05-29,268.67999267578125,268.67999267578125,269.6099853515625,266.0199890136719,269.17999267578125,720300
2025-05-30,272.4700012207031,272.4700012207031,272.8299865722656,268.0199890136719,268.4700012207031,1539300
2025-06-02,275.55999755859375,275.55999755859375,275.760009765625,270.0,271.0,675100
2025-06-03,275.760009765625,275.760009765625,276.6300048828125,270.260009765625,275.44000244140625,857500
2025-06-04,274.489990234375,274.489990234375,276.2699890136719,273.8599853515625,275.05999755859375,582200
2025-06-05,277.8900146484375,277.8900146484375,279.6199951171875,273.79998779296875,275.4599914550781,708100
2025-06-06,285.0199890136719,285.0199890136719,285.510009765625,277.4200134277344,277.95001220703125,670900
2025-06-09,279.8800048828125,279.8800048828125,285.5,278.4599914550781,284.20001220703125,965600
2025-06-10,278.489990234375,278.489990234375,280.5199890136719,274.5299987792969,280.5199890136719,660700
2025-06-11,279.8299865722656,279.8299865722656,280.5799865722656,277.80999755859375,278.1600036621094,501000
2025-06-12,281.80999755859375,281.80999755859375,282.1000061035156,277.94000244140625,280.19000244140625,676400
2025-06-13,279.8999938964844,279.8999938964844,282.1099853515625,278.94000244140625,279.6400146484375,427300
2025-06-16,281.0799865722656,281.0799865722656,282.57000732421875,278.8299865722656,281.05999755859375,427100
2025-06-17,283.9599914550781,283.9599914550781,285.5,279.5199890136719,280.67999267578125,768500
2025-06-18,281.1600036621094,281.1600036621094,284.44000244140625,279.760009765625,283.7799987792969,682700
2025-06-20,280.7300109863281,280.7300109863281,283.0400085449219,278.3599853515625,282.0,1026500
2025-06-23,282.8900146484375,282.8900146484375,283.8599853515625,279.1000061035156,280.4599914550781,651700
2025-06-24,285.0299987792969,285.0299987792969,285.2099914550781,280.7699890136719,283.92999267578125,572100
2025-06-25,282.44000244140625,282.44000244140625,284.6000061035156,281.9100036621094,284.4200134277344,419600
2025-06-26,283.2099914550781,283.2099914550781,284.2200012207031,280.7900085449219,283.9599914550781,512600
2025-06-27,287.67999267578125,287.67999267578125,288.3399963378906,282.0,282.0799865722656,1059400
2025-06-30,288.79998779296875,288.79998779296875,290.3800048828125,286.8699951171875,288.29998779296875,833100
2025-07-01,289.0799865722656,289.0799865722656,290.3699951171875,283.6499938964844,290.1700134277344,650300
2025-07-02,282.0199890136719,282.0199890136719,287.510009765625,277.0,286.2099914550781,956700
2025-07-03,286.32000732421875,286.32000732421875,286.57000732421875,281.9700012207031,283.0,439100
2025-07-07,287.489990234375,287.489990234375,289.0,285.989990234375,285.989990234375,573600
2025-07-08,286.8500061035156,286.8500061035156,287.30999755859375,281.1000061035156,287.1000061035156,778000
2025-07-09,289.760009765625,289.760009765625,291.5400085449219,284.79998779296875,287.05999755859375,694700
2025-07-10,285.2900085449219,285.2900085449219,289.9599914550781,284.20001220703125,288.75,580100
2025-07-11,281.3900146484375,281.3900146484375,284.6300048828125,280.44000244140625,284.2200012207031,532600
2025-07-14,282.80999755859375,282.80999755859375,285.0,281.0,281.0400085449219,548800
2025-07-15,281.489990234375,281.489990234375,282.8399963378906,280.239990234375,282.8399963378906,465000
2025-07-16,283.2699890136719,283.2699890136719,283.3999938964844,278.7099914550781,281.4599914550781,541400
2025-07-17,280.8599853515625,280.8599853515625,283.2900085449219,279.29998779296875,282.0299987792969,499800
2025-07-18,283.42999267578125,283.42999267578125,283.67999267578125,279.1600036621094,280.8599853515625,359400
2025-07-21,284.1700134277344,284.1700134277344,285.739990234375,281.2099914550781,283.6499938964844,475400
2025-07-22,287.9200134277344,287.9200134277344,288.3699951171875,283.2900085449219,284.3900146484375,610500
2025-07-23,289.3599853515625,289.3599853515625,289.95001220703125,283.8900146484375,286.67999267578125,675700
2025-07-24,286.6700134277344,286.6700134277344,289.989990234375,286.3900146484375,288.9800109863281,825800
2025-07-25,305.7900085449219,305.7900085449219,308.0,288.1199951171875,295.0,1260100
2025-07-28,305.9800109863281,305.9800109863281,310.6000061035156,304.8399963378906,305.0,487200
2025-07-29,277.4700012207031,277.4700012207031,288.0,273.260009765625,288.0,3755700
2025-07-30,266.9800109863281,266.9800109863281,277.25,263.94000244140625,277.0400085449219,3035600
2025-07-31,268.8699951171875,268.8699951171875,269.1199951171875,264.7099914550781,267.739990234375,2233100
2025-08-01,265.3699951171875,265.3699951171875,268.8299865722656,264.04998779296875,268.1700134277344,1337300
2025-08-04,268.2900085449219,268.2900085449219,268.70001220703125,262.55999755859375,266.6600036621094,1194700
2025-08-05,268.2300109863281,268.2300109863281,270.5,263.9200134277344,269.5,939700
2025-08-06,273.2200012207031,273.2200012207031,273.3800048828125,266.1199951171875,268.0899963378906,895300
2025-08-07,273.989990234375,273.989990234375,275.4100036621094,270.6700134277344,274.44000244140625,952800
2025-08-08,271.8900146484375,271.8900146484375,275.9200134277344,269.8299865722656,273.6099853515625,613100
2025-08-11,267.4200134277344,267.4200134277344,273.7799987792969,267.0400085449219,271.29998779296875,1230000
2025-08-12,263.0199890136719,263.0199890136719,267.4200134277344,261.8800048828125,264.5,1300400
2025-08-13,267.5,267.5,268.8900146484375,261.2300109863281,263.0199890136719,811900
2025-08-14,266.82000732421875,266.82000732421875,267.70001220703125,264.29998779296875,267.0799865722656,859700
2025-08-15,269.8900146484375,269.8900146484375,270.8699951171875,266.0,266.95001220703125,1296400
