Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WSM,WSM,WSM,WSM,WSM,WSM
Date,,,,,,
2025-04-17,138.67018127441406,139.2100067138672,140.14999389648438,136.49000549316406,138.2100067138672,1236800
2025-04-21,137.33535766601562,137.8699951171875,138.8699951171875,134.44000244140625,137.07000732421875,1634000
2025-04-22,141.37960815429688,141.92999267578125,144.8000030517578,139.4199981689453,139.4199981689453,1870000
2025-04-23,145.31431579589844,145.8800048828125,156.50999450683594,145.32000732421875,148.44000244140625,1816500
2025-04-24,150.81289672851562,151.39999389648438,151.69000244140625,144.97999572753906,145.82000732421875,1288300
2025-04-25,150.6037139892578,151.19000244140625,153.22999572753906,149.6199951171875,152.5500030517578,1391800
2025-04-28,151.94847106933594,152.5399932861328,154.36000061035156,149.75999450683594,153.3300018310547,1260400
2025-04-29,152.8051300048828,153.39999389648438,153.86000061035156,150.80999755859375,151.05999755859375,1170100
2025-04-30,153.87100219726562,154.47000122070312,154.88999938964844,148.2100067138672,150.52999877929688,1631800
2025-05-01,155.21575927734375,155.82000732421875,159.0800018310547,155.5399932861328,157.99000549316406,1610300
2025-05-02,159.9373779296875,160.55999755859375,162.10000610351562,157.5399932861328,158.4600067138672,1485400
2025-05-05,157.77578735351562,158.38999938964844,159.83999633789062,157.10000610351562,158.3800048828125,1219200
2025-05-06,153.8112335205078,154.41000366210938,157.27999877929688,154.0800018310547,155.8300018310547,1335300
2025-05-07,157.02870178222656,157.63999938964844,158.47000122070312,154.6999969482422,155.6999969482422,1434500
2025-05-08,160.26609802246094,160.88999938964844,162.13999938964844,157.5800018310547,160.0399932861328,1535100
2025-05-09,159.68833923339844,160.30999755859375,161.99000549316406,159.0399932861328,161.19000244140625,989000
2025-05-12,173.12603759765625,173.8000030517578,180.07000732421875,171.8300018310547,173.25999450683594,2165200
2025-05-13,173.7635498046875,174.44000244140625,176.19000244140625,172.97999572753906,176.0800018310547,1779200
2025-05-14,170.95448303222656,171.6199951171875,175.91000366210938,171.24000549316406,173.0800018310547,1689000
2025-05-15,171.00428771972656,171.6699981689453,172.58999633789062,168.27999877929688,168.27999877929688,895600
2025-05-16,173.16587829589844,173.83999633789062,175.0500030517578,170.74000549316406,172.1999969482422,1394000
2025-05-19,173.6041717529297,174.27999877929688,175.2899932861328,168.60000610351562,169.41000366210938,1533500
2025-05-20,171.8509979248047,172.52000427246094,177.2899932861328,171.92999267578125,173.8699951171875,2096400
2025-05-21,167.26882934570312,167.9199981689453,171.47000122070312,167.27999877929688,170.2899932861328,2063100
2025-05-22,159.76803588867188,160.38999938964844,162.6300048828125,147.38999938964844,156.5,6667400
2025-05-23,157.23789978027344,157.85000610351562,161.60000610351562,157.22000122070312,158.1300048828125,2125100
2025-05-27,166.1830596923828,166.8300018310547,166.8300018310547,158.6999969482422,160.63999938964844,2573300
2025-05-28,163.87205505371094,164.50999450683594,168.3300018310547,164.19000244140625,167.0500030517578,2083600
2025-05-29,163.87205505371094,164.50999450683594,166.6699981689453,162.35000610351562,165.8300018310547,1978400
2025-05-30,161.13272094726562,161.75999450683594,164.38999938964844,161.16000366210938,163.5399932861328,2532700
2025-06-02,157.6064453125,158.22000122070312,161.27000427246094,154.19000244140625,160.88999938964844,2714100
2025-06-03,160.91357421875,161.5399932861328,162.47999572753906,158.24000549316406,158.35000610351562,1369100
2025-06-04,159.34967041015625,159.97000122070312,162.42999267578125,159.88999938964844,161.1699981689453,1524200
2025-06-05,157.36737060546875,157.97999572753906,160.8300018310547,156.3699951171875,159.60000610351562,1849400
2025-06-06,157.18807983398438,157.8000030517578,160.50999450683594,157.16000366210938,159.5,1291900
2025-06-09,156.1322021484375,156.74000549316406,159.22999572753906,156.72000122070312,159.22999572753906,1629300
2025-06-10,157.48692321777344,158.10000610351562,159.02999877929688,156.39999389648438,159.02999877929688,1230700
2025-06-11,154.9766845703125,155.5800018310547,162.55999755859375,155.44000244140625,160.3000030517578,1393100
2025-06-12,154.2096710205078,154.80999755859375,155.94000244140625,152.99000549316406,155.52999877929688,1157900
2025-06-13,153.36297607421875,153.9600067138672,161.1999969482422,152.1999969482422,153.82000732421875,2159000
2025-06-16,157.53671264648438,158.14999389648438,158.36000061035156,155.3000030517578,156.16000366210938,1672800
2025-06-17,156.32144165039062,156.92999267578125,161.1300048828125,156.07000732421875,156.9499969482422,1659800
2025-06-18,159.81784057617188,160.44000244140625,163.0,155.83999633789062,157.4499969482422,1984200
2025-06-20,158.2240447998047,158.83999633789062,162.66000366210938,158.4600067138672,160.97000122070312,3326700
2025-06-23,157.27772521972656,157.88999938964844,158.57000732421875,154.11000061035156,157.0500030517578,1528500
2025-06-24,157.2677764892578,157.8800048828125,159.57000732421875,155.89999389648438,159.19000244140625,1150100
2025-06-25,158.2838134765625,158.89999389648438,159.1199951171875,156.6999969482422,158.57000732421875,1409900
2025-06-26,161.30206298828125,161.92999267578125,162.25999450683594,158.41000366210938,159.47999572753906,1221500
2025-06-27,163.58319091796875,164.22000122070312,165.41000366210938,161.97000122070312,162.66000366210938,2786500
